"Genename"	0	"1h"	"6h"	"12h"	"24h"	"36h"	"48h"	"72h"
ENSMUSG00000000031:H19	0.00	0.38	0.47	0.55	1.87	2.78	4.18	4.34
ENSMUSG00000000037:SCML2	0.00	0.64	0.92	0.74	0.75	0.71	-0.21	-1.13
ENSMUSG00000000056:NARF	0.00	-0.41	-1.19	-0.70	-0.16	-0.73	-0.12	-0.02
ENSMUSG00000000058:CAV2	0.00	0.02	0.00	0.07	0.07	0.08	0.47	1.33
ENSMUSG00000000078:KLF6	0.00	0.58	-0.17	-0.69	-0.28	-1.10	-0.82	1.15
ENSMUSG00000000093:TBX2	0.00	0.73	-0.19	-0.79	-1.10	-1.27	-1.12	-1.15
ENSMUSG00000000094:TBX4	0.00	-0.45	1.10	1.47	1.29	0.95	0.24	-0.07
ENSMUSG00000000120:NGFR	0.00	-0.64	-0.52	-0.21	-0.84	-2.95	-4.85	-6.03
ENSMUSG00000000125:WNT3	0.00	0.24	-1.00	-1.19	-1.24	1.49	2.37	2.45
ENSMUSG00000000126:WNT9A	0.00	0.04	0.19	-0.13	0.36	0.89	1.54	2.10
ENSMUSG00000000142:AXIN2	0.00	-0.52	-1.96	-1.24	-1.15	-2.22	-2.75	-2.15
ENSMUSG00000000184:CCND2	0.00	0.68	3.39	4.86	4.89	2.79	2.64	1.28
ENSMUSG00000000194:GPR107	0.00	-0.19	-0.19	-0.22	-0.71	-1.01	-1.14	-1.08
ENSMUSG00000000197:NALCN	0.00	0.15	-0.64	-0.97	-1.02	-1.82	-1.00	0.20
ENSMUSG00000000202:BTBD17	0.00	0.80	1.59	1.02	2.08	3.69	3.17	1.78
ENSMUSG00000000204:SLFN4	0.00	0.41	0.60	0.66	0.67	-0.67	-0.83	-1.44
ENSMUSG00000000223:DRP2	0.00	0.02	-0.77	0.03	-0.54	-1.02	-1.68	-1.33
ENSMUSG00000000244:TSPAN32	0.00	-0.48	1.19	1.99	1.31	0.34	-1.25	-2.62
ENSMUSG00000000247:LHX2	0.00	-0.06	0.19	-0.37	-0.83	-0.94	-1.00	-1.07
ENSMUSG00000000275:TRIM25	0.00	-0.34	0.25	0.01	-0.15	-0.47	-1.12	-1.53
ENSMUSG00000000278:SCPEP1	0.00	-0.33	-0.88	-0.67	-0.76	-1.44	-1.31	-1.39
ENSMUSG00000000290:ITGB2	0.00	0.00	0.19	0.40	0.39	0.93	1.45	1.13
ENSMUSG00000000308:CKMT1	0.00	-0.58	-1.33	-1.91	-2.52	-3.34	-2.76	-1.95
ENSMUSG00000000317:BCL6B	0.00	-0.47	0.49	1.78	3.09	4.85	3.95	3.21
ENSMUSG00000000320:ALOX12	0.00	0.04	-1.81	-3.15	-3.29	-2.99	-1.16	-0.86
ENSMUSG00000000402:EGFL6	0.00	0.52	0.94	1.21	1.22	0.32	-1.36	-1.97
ENSMUSG00000000411:TSSK3	0.00	0.16	-0.10	0.01	-0.00	-0.02	0.52	1.05
ENSMUSG00000000416:CTTNBP2	0.00	-0.03	-0.58	-1.93	-3.23	-3.21	-3.43	-1.83
ENSMUSG00000000420:GALNT1	0.00	-0.01	-0.37	-0.84	-1.24	-1.85	-1.98	-1.22
ENSMUSG00000000435:MYF5	0.00	0.02	0.00	0.01	0.01	1.18	1.19	0.60
ENSMUSG00000000486:SEPT1	0.00	-0.42	0.10	0.56	0.13	-1.31	-3.33	-6.89
ENSMUSG00000000489:PDGFB	0.00	-1.45	-0.83	-2.16	-2.19	-2.03	-1.86	-0.58
ENSMUSG00000000530:ACVRL1	0.00	-1.02	0.01	0.06	0.12	-0.02	-0.88	-1.39
ENSMUSG00000000531:GRASP	0.00	-0.49	-1.99	-2.30	-2.77	-3.39	-3.10	-3.42
ENSMUSG00000000532:ACVR1B	0.00	-0.57	-0.47	-0.69	-1.53	-1.60	-1.15	-0.74
ENSMUSG00000000538:TOM1L2	0.00	-0.34	-0.29	-0.43	-0.78	-1.28	-1.24	-0.68
ENSMUSG00000000544:GPA33	0.00	-0.58	-0.53	-0.14	-0.19	-1.26	-2.45	-4.98
ENSMUSG00000000555:ITGA5	0.00	-0.07	0.19	-0.10	-0.75	-0.84	-1.09	-0.88
ENSMUSG00000000594:GM2A	0.00	-0.34	-1.24	-1.61	-1.24	-2.52	-1.45	-1.22
ENSMUSG00000000617:GRM6	0.00	0.20	2.20	2.63	3.76	5.49	4.34	3.26
ENSMUSG00000000627:SEMA4F	0.00	-0.51	-0.72	-1.38	-1.97	-2.73	-2.77	-2.37
ENSMUSG00000000628:HK2	0.00	-0.57	-0.50	-0.99	-1.26	-0.94	-1.72	-2.32
ENSMUSG00000000631:MYO18A	0.00	-0.58	-0.50	-0.27	-1.13	-2.01	-1.40	-0.58
ENSMUSG00000000632:SEZ6	0.00	-0.41	0.35	0.86	0.70	1.08	1.47	1.56
ENSMUSG00000000708:KAT2B	0.00	0.13	0.09	-0.13	-0.08	-0.39	-0.80	-1.74
ENSMUSG00000000711:RAB5B	0.00	-0.31	-0.26	-0.40	-0.61	-1.15	-0.88	-0.40
ENSMUSG00000000730:DNMT3L	0.00	0.15	3.89	5.27	5.88	5.46	3.91	0.35
ENSMUSG00000000731:AIRE	0.00	-1.61	0.71	2.46	3.64	2.58	0.98	-2.45
ENSMUSG00000000732:ICOSL	0.00	0.52	1.85	2.25	2.68	2.16	1.56	0.56
ENSMUSG00000000753:SERPINF1	0.00	1.04	0.20	-0.80	0.07	1.40	3.78	2.18
ENSMUSG00000000766:OPRM1	0.00	-0.07	0.40	0.13	0.48	0.69	0.67	1.13
ENSMUSG00000000792:SLC5A5	0.00	0.80	0.58	1.86	3.13	4.43	4.27	4.24
ENSMUSG00000000805:CAR4	0.00	0.24	0.39	2.21	5.47	8.06	8.67	9.10
ENSMUSG00000000861:BCL11A	0.00	-0.83	1.03	2.43	3.86	5.15	4.37	3.94
ENSMUSG00000000876:PXMP4	0.00	-0.22	-0.47	-0.49	-0.70	-1.29	-0.73	-0.59
ENSMUSG00000000901:MMP11	0.00	-0.71	-1.26	-1.05	-0.98	-1.83	-1.93	-1.73
ENSMUSG00000000915:HIP1R	0.00	-0.48	-0.44	-1.02	-1.38	-0.98	-0.25	1.05
ENSMUSG00000000938:HOXA10	0.00	1.12	1.60	1.60	0.16	-0.94	-1.26	-1.56
ENSMUSG00000000942:HOXA4	0.00	0.13	0.22	-0.42	-0.44	-0.78	-0.93	-1.04
ENSMUSG00000000948:GM38393	0.00	0.17	1.01	1.76	2.51	2.92	3.05	3.34
ENSMUSG00000000957:MMP14	0.00	-0.28	0.72	1.33	1.13	0.94	1.10	1.94
ENSMUSG00000000958:SLC7A7	0.00	0.05	3.51	4.16	4.61	4.53	4.31	4.12
ENSMUSG00000001014:ICAM4	0.00	-0.11	-0.07	0.36	1.09	0.93	0.99	0.74
ENSMUSG00000001021:S100A3	0.00	0.56	1.60	0.54	0.13	0.15	0.08	0.14
ENSMUSG00000001025:S100A6	0.00	2.39	5.02	4.21	3.34	1.97	0.53	0.39
ENSMUSG00000001029:ICAM2	0.00	-0.07	0.23	0.55	0.57	-0.05	-0.68	-1.36
ENSMUSG00000001039:B9D1	0.00	0.00	0.20	0.70	1.09	1.43	1.52	1.05
ENSMUSG00000001054:RMND5B	0.00	-0.55	-0.37	-0.59	-0.79	-1.80	-1.78	-1.44
ENSMUSG00000001056:NHP2	0.00	0.17	0.40	0.32	0.56	1.00	1.03	0.54
ENSMUSG00000001065:ZFP276	0.00	-0.04	0.09	0.04	-0.67	-0.94	-1.12	-0.94
ENSMUSG00000001119:COL6A1	0.00	-0.48	-1.37	-1.30	-1.37	-1.09	-0.85	-0.35
ENSMUSG00000001120:PCBP3	0.00	-0.22	-0.11	0.25	0.82	0.65	1.49	1.74
ENSMUSG00000001123:LGALS9	0.00	0.92	-0.32	-0.52	0.66	1.60	1.28	-0.14
ENSMUSG00000001128:CFP	0.00	-0.27	-1.12	-0.90	-1.97	-2.60	-2.48	-2.13
ENSMUSG00000001131:TIMP1	0.00	-0.32	0.26	-0.42	-1.02	-1.76	-1.65	-2.26
ENSMUSG00000001150:MCM3AP	0.00	-0.06	-0.16	0.14	0.07	0.14	-0.51	-1.27
