"Genename"	"ClusNum"
ENSMUSG00000000031:H19	1
ENSMUSG00000000037:SCML2	16
ENSMUSG00000000056:NARF	17
ENSMUSG00000000058:CAV2	12
ENSMUSG00000000078:KLF6	12
ENSMUSG00000000093:TBX2	2
ENSMUSG00000000094:TBX4	19
ENSMUSG00000000120:NGFR	2
ENSMUSG00000000125:WNT3	14
ENSMUSG00000000126:WNT9A	1
ENSMUSG00000000142:AXIN2	2
ENSMUSG00000000184:CCND2	19
ENSMUSG00000000194:GPR107	2
ENSMUSG00000000197:NALCN	10
ENSMUSG00000000202:BTBD17	5
ENSMUSG00000000204:SLFN4	3
ENSMUSG00000000223:DRP2	2
ENSMUSG00000000244:TSPAN32	3
ENSMUSG00000000247:LHX2	2
ENSMUSG00000000275:TRIM25	3
ENSMUSG00000000278:SCPEP1	2
ENSMUSG00000000290:ITGB2	1
ENSMUSG00000000308:CKMT1	6
ENSMUSG00000000317:BCL6B	1
ENSMUSG00000000320:ALOX12	4
ENSMUSG00000000402:EGFL6	3
ENSMUSG00000000411:TSSK3	7
ENSMUSG00000000416:CTTNBP2	6
ENSMUSG00000000420:GALNT1	2
ENSMUSG00000000435:MYF5	14
ENSMUSG00000000486:SEPT1	8
ENSMUSG00000000489:PDGFB	6
ENSMUSG00000000530:ACVRL1	22
ENSMUSG00000000531:GRASP	2
ENSMUSG00000000532:ACVR1B	6
ENSMUSG00000000538:TOM1L2	9
ENSMUSG00000000544:GPA33	8
ENSMUSG00000000555:ITGA5	2
ENSMUSG00000000594:GM2A	18
ENSMUSG00000000617:GRM6	5
ENSMUSG00000000627:SEMA4F	2
ENSMUSG00000000628:HK2	2
ENSMUSG00000000631:MYO18A	11
ENSMUSG00000000632:SEZ6	1
ENSMUSG00000000708:KAT2B	2
ENSMUSG00000000711:RAB5B	11
ENSMUSG00000000730:DNMT3L	19
ENSMUSG00000000731:AIRE	19
ENSMUSG00000000732:ICOSL	19
ENSMUSG00000000753:SERPINF1	14
ENSMUSG00000000766:OPRM1	1
ENSMUSG00000000792:SLC5A5	1
ENSMUSG00000000805:CAR4	1
ENSMUSG00000000861:BCL11A	1
ENSMUSG00000000876:PXMP4	18
ENSMUSG00000000901:MMP11	2
ENSMUSG00000000915:HIP1R	4
ENSMUSG00000000938:HOXA10	3
ENSMUSG00000000942:HOXA4	2
ENSMUSG00000000948:GM38393	1
ENSMUSG00000000957:MMP14	1
ENSMUSG00000000958:SLC7A7	1
ENSMUSG00000001014:ICAM4	1
ENSMUSG00000001021:S100A3	13
ENSMUSG00000001025:S100A6	13
ENSMUSG00000001029:ICAM2	22
ENSMUSG00000001039:B9D1	1
ENSMUSG00000001054:RMND5B	2
ENSMUSG00000001056:NHP2	1
ENSMUSG00000001065:ZFP276	2
ENSMUSG00000001119:COL6A1	4
ENSMUSG00000001120:PCBP3	1
ENSMUSG00000001123:LGALS9	14
ENSMUSG00000001128:CFP	2
ENSMUSG00000001131:TIMP1	2
ENSMUSG00000001150:MCM3AP	8
ENSMUSG00000001156:MXD1	2
ENSMUSG00000001173:OCRL	10
ENSMUSG00000001227:SEMA6B	1
ENSMUSG00000001228:UHRF1	8
ENSMUSG00000001240:RAMP2	14
ENSMUSG00000001247:LSR	1
ENSMUSG00000001248:GRAMD1A	6
ENSMUSG00000001249:HPN	1
ENSMUSG00000001270:CKB	2
ENSMUSG00000001281:ITGB7	8
ENSMUSG00000001288:RARG	19
ENSMUSG00000001300:EFNB2	1
ENSMUSG00000001323:SRR	10
ENSMUSG00000001333:SYNC	2
ENSMUSG00000001334:FNDC5	1
ENSMUSG00000001348:ACP5	21
ENSMUSG00000001349:CNN1	1
ENSMUSG00000001417:NA	2
ENSMUSG00000001418:GLMP	2
ENSMUSG00000001435:COL18A1	1
ENSMUSG00000001473:TUBB6	1
ENSMUSG00000001493:MEOX1	5
ENSMUSG00000001504:IRX2	2
ENSMUSG00000001507:ITGA3	1
ENSMUSG00000001552:JUP	3
ENSMUSG00000001555:FKBP10	1
ENSMUSG00000001576:ERGIC1	20
ENSMUSG00000001583:TNK1	4
ENSMUSG00000001604:TCEA3	22
ENSMUSG00000001642:AKR1B3	16
ENSMUSG00000001655:HOXC13	2
ENSMUSG00000001656:HOXC11	21
ENSMUSG00000001663:GSTT1	1
ENSMUSG00000001672:MARVELD3	7
ENSMUSG00000001687:UBL3	3
